INDEX,TR_GOOD,NUM_PHRASE_LINES,NUM_PHRASE_WORDS,WPM,DURATION_MS,BEGIN_TIME,BEGIN_TIME_MS,COMP_END_TIME,COMP_END_TIME_MS,END_TIME,END_TIME_MS,TOLERANCE,END_TRUNCATED
228,0,1,2,250,480,00:09:49.489,589489,00:09:49.969,589969,00:09:49.969,589969,1300,0
229,0,1,7,250,1680,00:09:51.925,591925,00:09:53.605,593605,00:09:53.605,593605,1300,0
230,0,1,6,250,1440,00:09:56.363,596363,00:09:57.803,597803,00:09:57.803,597803,1300,0
231,0,1,4,250,960,00:09:59.900,599900,00:10:00.860,600860,00:10:00.860,600860,1300,0
232,0,1,7,250,1680,00:10:03.604,603604,00:10:05.284,605284,00:10:05.172,605172,1300,1
233,0,1,5,250,1200,00:10:05.172,605172,00:10:06.372,606372,00:10:06.206,606206,1300,1
234,0,1,5,250,1200,00:10:06.206,606206,00:10:07.406,607406,00:10:07.406,607406,1300,0
235,0,1,5,250,1200,00:10:11.211,611211,00:10:12.411,612411,00:10:12.411,612411,1300,0
236,0,1,6,250,1440,00:10:14.715,614715,00:10:16.155,616155,00:10:16.155,616155,1300,0
237,0,1,7,250,1680,00:10:17.451,617451,00:10:19.131,619131,00:10:19.086,619086,1300,1
238,0,1,8,250,1920,00:10:19.086,619086,00:10:21.006,621006,00:10:21.006,621006,1300,0
239,0,1,4,250,960,00:10:21.021,621021,00:10:21.981,621981,00:10:21.981,621981,1300,0
240,0,1,9,250,2159,00:10:22.155,622155,00:10:24.314,624314,00:10:24.314,624314,1300,0
241,0,1,8,250,1920,00:10:24.858,624858,00:10:26.778,626778,00:10:26.593,626593,1300,1
242,0,1,6,250,1440,00:10:26.593,626593,00:10:28.033,628033,00:10:28.033,628033,1300,0
243,0,1,2,250,480,00:10:28.161,628161,00:10:28.641,628641,00:10:28.641,628641,1300,0
244,0,1,6,250,1440,00:10:30.764,630764,00:10:32.204,632204,00:10:31.798,631798,1300,1
245,0,1,2,250,480,00:10:31.798,631798,00:10:32.278,632278,00:10:32.278,632278,1300,0
246,0,1,5,250,1200,00:10:33.367,633367,00:10:34.567,634567,00:10:34.401,634401,1300,1
247,0,1,7,250,1680,00:10:34.401,634401,00:10:36.081,636081,00:10:36.003,636003,1300,1
248,0,1,6,250,1440,00:10:36.003,636003,00:10:37.443,637443,00:10:37.037,637037,1300,1
249,0,1,2,250,480,00:10:37.037,637037,00:10:37.517,637517,00:10:37.517,637517,1300,0
250,0,1,6,250,1440,00:10:38.071,638071,00:10:39.511,639511,00:10:39.511,639511,1300,0
251,0,1,6,250,1440,00:10:39.640,639640,00:10:41.080,641080,00:10:41.080,641080,1300,0
252,0,1,6,250,1440,00:10:41.208,641208,00:10:42.648,642648,00:10:42.648,642648,1300,0
253,0,1,7,250,1680,00:10:43.810,643810,00:10:45.490,645490,00:10:45.379,645379,1300,1
254,0,1,4,250,960,00:10:45.379,645379,00:10:46.339,646339,00:10:46.339,646339,1300,0
255,0,1,3,250,720,00:10:46.947,646947,00:10:47.667,647667,00:10:47.667,647667,1300,0
256,0,1,6,250,1440,00:10:49.516,649516,00:10:50.956,650956,00:10:50.584,650584,1300,1
257,0,1,5,250,1200,00:10:50.584,650584,00:10:51.784,651784,00:10:51.784,651784,1300,0
258,0,1,5,250,1200,00:10:59.893,659893,00:11:01.093,661093,00:11:01.093,661093,1300,0
259,0,1,3,250,720,00:11:09.169,669169,00:11:09.889,669889,00:11:09.889,669889,1300,0
260,0,1,3,250,720,00:11:14.141,674141,00:11:14.861,674861,00:11:14.861,674861,1300,0
261,0,1,8,250,1920,00:11:30.357,690357,00:11:32.277,692277,00:11:32.277,692277,1300,0
262,0,1,1,250,240,00:11:32.426,692426,00:11:32.666,692666,00:11:32.659,692659,1300,1
263,0,1,5,250,1200,00:11:32.659,692659,00:11:33.859,693859,00:11:33.859,693859,1300,0
